Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
State Bank of India (SBI),Settlement of Deceased Assets,"Nominees, survivors (for joint accounts), or legal heirs of a deceased SBI account holder.","The designated nominee, surviving account holders, or the legal heirs of the deceased.","Death Certificate (Original), KYC documents of claimants, and the appropriate Claim Application Form.",Hybrid,"Submit the death certificate and KYC online or at a branch, obtain a CRM Case ID, and visit the selected branch for final document verification and payment.","Legal and financial settlement of funds in Savings/Current accounts, Fixed Deposits, and the release of Locker contents to the rightful successors.",Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://retail.sbi.bank.in/sbi/downloads/decease_claim_set.pdf
State Bank of India (SBI),"Name of the Scheme: Nomination Facility (Banking Companies (Nomination) Rules, 1985)
Name of the Form: Form DA-1 (Nomination Form)","Individual account holders (Single or Joint) holding Savings, Current, or Fixed Deposit accounts.",The Nominee (the person designated to receive the account proceeds in the event of the depositor's death).,"Account Number, Nominee's Name & Address, and Aadhaar/ID details of the nominee (optional but recommended).",Hybrid,"Select ""Nomination"" under the Service Requests tab in OnlineSBI to add details, or submit a physical DA-1 form to your home branch.","Provides a simplified process for the transfer of funds to a chosen person after the death of the account holder, avoiding lengthy legal disputes.",Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://retail.sbi.bank.in/sbi/downloads/da1.pdf
State Bank of India (SBI),Name of the Form: Form DA-2 (Cancellation of Nomination),"Individual account holders (Single or Joint) who wish to remove an existing nominee from their Savings, Current, or Fixed Deposit account.",The Account Holder (who regains control over the nomination status of their assets).,"Account Number, Existing Nominee's Name, and Aadhaar/ID proof of the account holder.",Hybrid,"Select ""Nomination"" > ""Cancel Nomination"" in OnlineSBI, or submit a physical DA-2 form to your home branch","Legal cancellation of a previous nomination, ensuring that funds are not automatically transferred to a person the holder no longer wishes to designate.",Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://retail.sbi.bank.in/sbi/downloads/da2.pdf
State Bank of India (SBI),Name of the Form: Form DA-3 (Variation of Nomination),Individual account holders (Single or Joint) who wish to change or replace an existing nominee in their account.,The New Nominee (the newly designated person to receive account proceeds in the event of the depositor's death).,"Account Number, Old Nominee's details, and New Nominee’s Name, Address, and Age.",Hybrid,"Log in to OnlineSBI, navigate to ""Nomination"" under the Service Requests tab to modify, or submit a physical DA-3 form at your home branch.","Allows the account holder to update their legal successor for the account funds, ensuring the money goes to the correct person as circumstances change.",Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://retail.sbi.bank.in/sbi/downloads/da3.pdf
PFRDA (Pension Fund Regulatory and Development Authority),"Form S1 (Subscriber Registration Form)",Any Indian Citizen (Resident or Non-Resident) between the ages of 18 and 75 years.,The Subscriber (for post-retirement income) and their Nominees (in case of death).,"Aadhaar Card, PAN Card, Cancelled Cheque/Passbook, and a Passport-sized photograph.",Hybrid,"Register via the eNPS Portal using Aadhaar/PAN for instant account opening, or submit the physical Form S1 at a designated SBI branch.",A long-term voluntary retirement savings scheme with tax benefits (under Section 80CCD) and a choice of investment patterns.,Central ,Yes,Common,Govt,No,"PFRDA, NSDL-CRA, and State Bank of India (SBI).",Online,https://retail.sbi.bank.in/sbi/downloads/New_NPS_Form.pdf
PFRDA (Pension Fund Regulatory and Development Authority),Form S1 (Subscriber Registration Form - Editable/Fillable),Any Indian Citizen (Resident or Non-Resident) between the ages of 18 and 75 years.,The Subscriber (for retirement planning) and their Nominees.,"Digital copies of Aadhaar, PAN, Signature, Photograph, and a Cancelled Cheque.",Hybrid,"Fill the editable PDF form on your computer, print/sign it, and upload it via the eNPS portal or submit it to an SBI branch.",A tax-saving retirement fund (Tier I & Tier II) with market-linked returns and a lifelong monthly pension.,Central ,Yes,Common ,Govt,No (if submitted via e-Sign/OTP on eNPS); Yes (if submitting a printed version at an SBI branch).,PFRDA (NSDL-CRA) and State Bank of India (SBI).,Online,https://retail.sbi.bank.in/sbi/downloads/NPS_Editable_Form.pdf
Income Tax Department,FATCA-CRS Declaration & Supplementary KYC,"All new and existing account holders (Individual and Non-individual), especially those with potential tax residency outside India.",The Government of India (for international tax transparency) and the Account Holder (to ensure uninterrupted account operations).,"PAN Card, Aadhaar/Voter ID, and Tax Identification Number (TIN) for foreign tax residencies.",Hybrid,"Fill the FATCA-CRS form with your tax residency details and TIN, then submit it to SBI online or in person.",Provides a standardized self-certification to identify US persons (FATCA) and tax residents of other countries (CRS) to prevent global tax evasion.,Central ,Yes,Common,Govt,"No (if submitted digitally via Net Banking); Yes (if requested by the branch or if foreign ""indicia"" like a US birthplace are present).",Income Tax Department and State Bank of India (SBI),Online,https://retail.sbi.bank.in/sbi/downloads/FATCA_CRS_Declaration.pdf
State Bank of India (SBI),"Application for Issuance of Inland Bank Guarantee","Business entities, contractors, or individuals having a Current Account with SBI and a sanctioned non-fund based limit.","The Third Party (Government departments, Project owners, or Sellers) to whom the guarantee is issued as security for performance or payment.","Sanction Letter, Contract/Tender document, Counter-Indemnity, and Marginal Money/Security details.",Hybrid,Submit the Standard Application Form along with the draft guarantee text and required margin to your SBI Relationship Manager.,A commitment by the bank to pay the beneficiary a specified sum if the applicant fails to perform contractual obligations or make payments.,Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) Official Trade Finance Guidelines.,Online,https://retail.sbi.bank.in/sbi/downloads/application_for_inland_bank_guarantee.pdf
State Bank of India (SBI),Deposit Slip Form,"Anyone wishing to deposit money into an SBI Savings, Current, Loan, or PPF account.",The Account Holder receiving the funds.,"Account Number, Branch Name, Amount, and PAN Card (mandatory for cash deposits of ₹50,000 and above).",Hybrid,Fill out the Pay-in-Slip at the counter or generate a QR Cash code on the YONO App to deposit at a CDM (Cash Deposit Machine).,A standard method to credit Cash or Cheques into a bank account with a stamped acknowledgment as proof of transaction.,Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Deposit+Slip-English+%281%29.pdf/f17f42ac-c4c1-2ddc-4e48-4ade8edc800d?t=1763121707252
State Bank of India (SBI),Withdrawal Form,Savings Account holders who do not have (or do not wish to use) a cheque book or ATM card for that specific transaction.,The Account Holder (self-withdrawal only; withdrawal slips are generally not for third-party payments).,"Original Passbook (mandatory), Account Number, and Identity Proof (if requested).",Hybrid,Fill the Withdrawal Slip and present it along with your Savings Bank Passbook to the teller at your home or nearby branch.,A simple way to withdraw cash from your own account at a bank counter without using a cheque.,Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Withdrawal+Slip-English+%281%29.pdf/4abf5fdb-e430-90c8-0c00-ef1b4c9b799f?t=1763121433129
State Bank of India (SBI),AG-LAF-IND (Agriculture Loan Application Form - Individual),"Individual farmers (owner cultivators, tenant farmers, oral lessees, or sharecroppers) and Agri-entrepreneurs.","Farmers engaged in crop cultivation, allied activities (dairy, poultry, fisheries), or those needing investment credit for farm machinery.","ID Proof (Aadhaar/PAN), Address Proof, Land ownership/Lease records, and Cropping pattern details.",Hybrid,"Fill the individual application form (AG-LAF-IND), attach land records, and submit it to the Rural/Semi-urban branch for technical appraisal.","Financial support for short-term crop production (KCC), allied activities, farm mechanization (tractors/harvesters), and land development.",Central ,Yes,Common,Govt,Yes,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Agriculture+Loan+Application+Form-English.pdf/1f8c8ddc-f26d-8dd0-5060-61dfc7a5dca4?t=1763105954142
Economic Empowerment / Livelihood Support.,"Annexure 1A (Common Loan Application Form / LAF)","Street vendors in urban, peri-urban, or rural areas active on or before March 24, 2020, with a Certificate of Vending (CoV) or Letter of Recommendation (LoR).","Individual Street Vendors (selling items like vegetables, fruits, street food, tea, apparel, or artisan products).","Aadhaar Card, Vending Certificate (CoV/ID/LoR), and an Aadhaar-linked Bank Passbook.",Hybrid,"Register with an Aadhaar-OTP, fill the application with your Survey Reference Number (SRN) or LoR, and choose a preferred lender for disbursement.","Collateral-free working capital loans of ₹15,000 (1st loan), ₹25,000 (2nd), and ₹50,000 (3rd) with a 7% interest subsidy and cashback for digital transactions.",Central ,Yes,Common ,Govt,No (for digital applications); Yes (if applying manually at a bank branch).,Ministry of Housing and Urban Affairs (MoHUA) and PM SVANidhi Official Portal,Online,https://sbi.bank.in/documents/53471/263971/PM+Svanidhi+Loan+Application+Form+English.pdf/c57e7f5c-ac69-b980-2966-82b11db8f65c?t=1763106348412
"Department of Financial Services (DFS), Ministry of Finance (administered by State Bank of India).",Mudra Loan Application Form,"Small business owners, proprietors, or partners in non-farm, non-corporate micro-enterprises (manufacturing, trading, or services).","Micro-entrepreneurs needing capital for business start-up, equipment purchase, or working capital.","ID Proof (Aadhaar/Voter ID), Address Proof, PAN Card, Business Address Proof (Udyam), and Past 6 months' bank statements.",Hybrid,"Fill out the provided PDF form with your business details and project report, then submit it to an SBI branch for appraisal.","Collateral-free loans in three categories: Shishu (up to ₹50,000), Kishore (₹50,001 to ₹5 Lakh), and Tarun (₹5,00,001 to ₹10 Lakh).",Central ,Yes,Common,Govt,No (for digital Shishu loans); Yes (for Kishore and Tarun categories requiring detailed documentation).,MUDRA (Micro Units Development & Refinance Agency Ltd.) and State Bank of India (SBI).,Online,https://sbi.bank.in/documents/53471/263971/PMMY+Loan+Application+Form+English.pdf/a92eb1bb-285a-56d3-503c-bbead0dfb6dd?t=1763106518884
"Ministry of Finance, Government of India (administered by State Bank of India).",Form C (PPF Account Closure/Withdrawal Form),PPF account holders who have reached the 15-year maturity period or meet specific premature closure grounds (medical/higher education after 5 years).,The Subscriber (or the nominee/legal heir in case of the subscriber's death) seeking to withdraw the accumulated corpus.,"Original PPF Passbook, KYC Proof (Aadhaar/PAN), and a Cancelled Cheque of the target savings account.",Hybrid,Submit the provided PDF form and your original passbook to the branch manager for processing and payment.,Full disbursement of the principal amount plus tax-free interest accumulated over the entire tenure of the account.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/263971/Public+Provident+Fund+Account+Closure+Form-English.pdf/d2d8c509-1e00-f68e-183d-4a8398f6766b?t=1765171976057
"Ministry of Finance, Government of India (administered by State Bank of India).",Form H (PPF Extension Form),PPF account holders who have completed the initial 15-year maturity period and wish to continue the account.,The Subscriber seeking to continue earning tax-free interest and potentially making further deposits after maturity.,"PPF Passbook, ID Proof (Aadhaar/PAN), and the filled Form H.",Offline ,Submit the provided PDF form at your home branch within one year of the account's maturity date.,"Extension of the account in blocks of 5 years with two options: ""With further deposits"" (to keep saving) or ""Without further deposits"" (to just earn interest).",Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/Public+Provident+Fund+Account+Extension+Form-English.pdf/96eaf920-b2e6-2a0b-5983-e4d9c74bb1d2?t=1765172729880
"Ministry of Finance, Government of India (administered by State Bank of India).",Form E (Nomination Form),Individual PPF account holders wishing to designate one or more persons to receive funds in the event of their death.,The Nominee(s) (the person(s) who will receive the balance amount in the PPF account upon the subscriber's demise).,"PPF Passbook, Nominee's Name, Address & Age, and Witness Signatures (for physical submission).",Offline ,Fill out the provided PDF form and submit it along with your original passbook to the branch for recording and stamping.,"Ensures a hassle-free transfer of accumulated tax-free savings to the chosen successor, bypassing the need for a succession certificate.",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/263971/Public+Provident+Fund+Account+Nomination+Form-English.pdf/3c5e223f-476d-f52f-b5be-cf3a65267616?t=1765173129132
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-E (SCSS Account Closure Form),SCSS account holders who have reached the 5-year maturity period or meet specific premature closure conditions (subject to penalties).,The Senior Citizen Subscriber (or the nominee/legal heir in case of the subscriber's death) seeking to withdraw the principal and interest.,"Original SCSS Passbook, KYC Proof (Aadhaar/PAN), and a Cancelled Cheque for the credit of funds.",Offline ,Submit the provided PDF form along with your original passbook to the branch manager for processing and payment.,Full disbursement of the principal amount and any outstanding interest earned through the government-backed savings scheme.,Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SCSS+Account+Closure+Form-English.pdf/cfd7fe4b-0a88-cc06-f05a-b951e88a0689?t=1765174266403
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-B (SCSS Account Deposit Slip),Senior Citizens (60+ years or eligible retirees 55+) making their initial investment or adding funds to their SCSS account,The Senior Citizen Subscriber (the individual whose name is on the SCSS account).,"SCSS Account Number, Branch Name, and Cash/Cheque/DD for the deposit amount.",Offline ,Fill out the provided PDF form with the deposit details and submit it with your cash/cheque at the bank counter for a stamped acknowledgment.,"A secure method to deposit funds into a high-interest, government-backed savings scheme designed specifically for retirement income.",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/263971/SCSS+Account+Deposit+Slip-English.pdf/13efac35-132d-33cc-2273-81914061ae79?t=1765174481429
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-G (Nomination Change/Variation Form,SCSS account holders who wish to cancel or change an existing nominee in their account.,The New Nominee(s) (the designated person(s) who will receive the balance in the event of the subscriber's death).,"SCSS Passbook, New Nominee's Name, Address & Age, and Witness Signatures.",Offline ,Fill out the provided PDF form with the new nominee details and submit it with your original passbook at the branch.,"Allows the subscriber to update their legal successor, ensuring the retirement funds are transferred to the correct person if family circumstances change.",Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SCSS+Account+Nomination+Change+Form-English.pdf/d01bd519-8584-feb8-6b87-975ae2a573b3?t=1765174783414
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-A (SCSS Account Opening Form),"Individuals aged 60 years or above, or retirees aged 55-60 (under VRS/Superannuation) and retired defense personnel aged 50+.","Senior Citizens looking for a safe, government-backed investment with regular quarterly income.","Aadhaar Card, PAN Card, Passport Photographs, and Proof of Date of Birth/Retirement.",Offline ,Submit the provided PDF form along with your KYC documents and the initial deposit (Cheque/DD) at your nearest SBI branch.,A 5-year investment (extendable by 3 years) offering quarterly interest payments and tax deductions under Section 80C.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/263971/SCSS+Account+Opening+Form-English.pdf/8b2d737e-1e88-ffb0-cd33-c398d5b0faba?t=1765175074863
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-4 (SSA Account Closure Form),"The Guardian (on behalf of the girl child) when the account reaches 21 years from the date of opening, or for the girl child’s marriage after she turns 18.",The Girl Child (Account Holder) who receives the full maturity amount for her financial future.,"Original SSA Passbook, Identity Proof of the girl child, and Proof of Marriage/Age (if closing for marriage).",Offline ,Submit the provided PDF form and the original passbook at the branch to transfer the maturity amount to the girl child's savings account.,Full disbursement of the principal amount plus compounded interest accumulated over the tenure of the account.,Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SSA+Account+Closure+Form-English.pdf/ce8e4f1a-042b-6dd6-f227-264bbd7a14ad?t=1765175818989
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-2 (SSA Premature Closure Form),"The Guardian or Account Holder (Girl Child) only under specific extreme grounds: Death of the account holder/guardian, Life-threatening disease, or Non-resident status (if the girl child becomes an NRI).",The Girl Child (or the Guardian/Nominee in case of the child's death).,"Original SSA Passbook, Death Certificate (if applicable), Medical Certificate from a specialist, or Passport/Visa copies (for NRI status).",Offline ,Submit the provided PDF form along with the original passbook and certified proof of the emergency/reason to the Branch Manager.,"Early disbursement of the principal and interest before the 21-year maturity period, providing immediate liquidity for emergencies or status changes.",Central ,No,Uncommon ,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SSA+Account+Premature+Closure-English.pdf/95c9a683-0bb4-329d-7a5f-0768e3c4661c?t=1765176821392
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-3 (SSA Withdrawal Form),"The Account Holder (Girl Child) after reaching 18 years of age or having passed 10th standard, whichever is earlier.","The Girl Child, for the purpose of meeting expenses for her Higher Education.","Original SSA Passbook, Identity Proof, and Admission Offer/Fee Receipt from the educational institution.",Offline ,Submit the provided PDF form and the original passbook with proof of admission to the branch manager for approval.,Partial withdrawal of up to 50% of the balance available at the end of the preceding financial year.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SSA+Account+Withdrawal-English.pdf/c77d8272-69eb-42c5-b595-3d41ba42e96b?t=1765176931411
State Bank of India (SBI),Application Form for Loans to Individuals (Auto Loan),"Salaried individuals, self-employed professionals/businessmen, and agriculturists aged 21 to 70 years with a stable income.","Individual borrowers looking to purchase a new passenger car, multi-utility vehicle, or SUV.","Identity/Address Proof, Income Proof (Salary Slips/ITR/Form 16), Last 6 months' Bank Statement, and a Pro-forma Invoice of the vehicle.",Hybrid,Submit the provided PDF form along with income documents and the vehicle quotation to an SBI branch or a RACPC (Retail Assets Centralized Processing Center).,"Financing for the purchase of a new car with on-road pricing coverage, flexible repayment tenures up to 7 years, and competitive interest rates.",Central ,Yes,Common ,Govt,No,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/263971/Auto+Loan+Application-English.pdf/a0e4c616-2435-8889-de64-8ef6c4a48d6e?t=1767590659339
State Bank of India (SBI),Application Form for Business Loans,"Business entities (Proprietorship, Partnership, or Companies) engaged in manufacturing, services, or trading with a minimum of 2 years of business vintage.","Small and Medium Enterprises (SMEs) needing credit for working capital, machinery purchase, or business expansion.","Business Registration (Udyam), Last 2-3 years' ITR, Bank Statements, KYC of Promoters, and Collateral Security details.",Hybrid,Submit the provided PDF form along with your business financial reports and project proposal to your nearest SBI SME Branch.,Financial assistance through term loans or working capital limits (Cash Credit) to support business growth and operational needs.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) SME Banking portal.,Online,https://sbi.bank.in/documents/53471/263971/Business+Loan+Application-English.pdf/4fcac044-0081-e3e5-ace9-ee4f023b53fb?t=1767594451472
State Bank of India (SBI).,Application Form for Education Loans,Indian Students who have secured admission to professional/technical courses in India or abroad through an entrance test or merit-based selection.,Students (as the borrower) and their Parents/Guardians (as the co-borrowers).,"Admission Letter, Fee Schedule, Mark sheets (10th/12th/Graduation), Income Proof of Co-borrower, and KYC documents.",Hybrid,"Register on the Vidya Lakshmi portal, select SBI, upload the provided PDF form, and visit the SBI branch for final processing.","Financial coverage for tuition fees, hostel charges, books/equipment, and travel expenses for studies in India or overseas.",Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) and Ministry of Finance.,Online,https://sbi.bank.in/documents/53471/263971/Education+Loan+Application-English.pdf/920347b9-f3bb-e97d-dc11-9cfda8a768da?t=1767594576828
State Bank of India (SBI).,Application Form for Gold Loans,Any individual (singly or jointly) aged 18 years and above with a steady source of income (including pensioners).,"Individual borrowers needing immediate liquidity for personal, medical, or agricultural needs by pledging gold ornaments.","Identity/Address Proof, two passport-sized photographs, and a Witness Letter (if required by the branch).",Hybrid,Submit the provided PDF form along with your gold ornaments at the branch for weight/purity valuation and instant disbursement,"Instant credit against gold ornaments/coins with flexible repayment options like Liquid Gold Loan (Overdraft), EMI, or Bullet Repayment.",Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/263971/Gold+Loan+Application-English.pdf/03234859-7238-8808-eacd-dbd90625e753?t=1767594758842
State Bank of India (SBI).,Application Form for Loans to Individuals (Home Loan),"Salaried individuals, Self-employed professionals, and Businessmen aged 18 to 70 years with a stable income.","Individual borrowers looking to purchase, construct, or renovate a house/flat.","Identity/Address Proof, Income Proof (ITR/Salary Slips), 6 months Bank Statement, and Property Documents (Allotment Letter/Sale Deed).",Hybrid,Submit the provided PDF form along with income and property papers to an SBI branch for technical and legal appraisal.,"Long-term financing for home purchase/construction with tenures up to 30 years, competitive interest rates, and no prepayment penalties.",Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/263971/Home+Loan+Application-English.pdf/f5d46151-9626-3aae-917e-499d1ce3d002?t=1767594853351
Reserve Bank of India (RBI) (implemented by State Bank of India).,Key Fact Statement (KFS),"All individual borrowers applying for retail loans (Home, Auto, Personal, etc.).","The Borrower, who receives a clear summary of all loan costs to make an informed decision.","Loan Account Number, Sanction Letter, and Identity Proof.",Hybrid,Review and sign the provided KFS PDF during the loan documentation stage at your SBI branch or via the YONO app.,"A standardized document that clearly lists the Annual Percentage Rate (APR), all processing fees, insurance costs, and the total amount to be repaid.",Central ,Yes,Common ,Govt,Yes,Reserve Bank of India (RBI) and State Bank of India (SBI).,Online,https://sbi.bank.in/documents/53471/263971/Key+fact+Statement-English.pdf/bcce4796-67d0-4e60-093d-c0f875197379?t=1767594991333
