Category (Health/Education etc),Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
Transport and Communication,"Transport Department, Government of Karnataka","Driving License or Addition of new class of vehicle or
Renewal of Driving license or Change of Address or Change of Name","Eligibility requires being 16+ years (non-gear) or 18+ years (gear/LMV), passing a traffic rules test, and providing age and address proof.","The beneficiary is any eligible citizen (student, professional, or driver) who gains the legal right to learn driving on public roads under the supervision of a licensed driver","Required documents include Age Proof (Aadhaar/SSLC), Address Proof (Voter ID/Passport), Medical Fitness Form (1/1A), and Passport-size photographs.",Online & Offline,"Apply online via the Parivahan Sarathi Portal using Aadhaar for a faceless process, or book an RTO appointment for physical document verification and a computer-based traffic rules test.","The offering is a legal permit to practice driving on public roads for 6 months, providing the mandatory foundation to apply for a permanent Driving Licence.",State Level,Yes,Common,Govt,No,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline ,https://transport.karnataka.gov.in/storage/pdf-files/form%201%20kannada.pdf
Transport and Communication,"Transport Department, Government of Karnataka",Application for Licence to Drive,"Eligibility requires holding a valid Learner's Licence for at least 30 days, being 18+ years old (20+ for transport), and passing a physical driving skill test at the RTO.","The beneficiary is any eligible individual who has completed their learner's period and seeks a permanent, legal right to drive motor vehicles on public roads across India.","Required documents include your Original Learner's Licence, Medical Form (1/1A), and the RC, Insurance, and PUC of the vehicle used for the driving test",Online & Offline,"Apply online via the Parivahan Sarathi Portal, pay the Smart Card fee, and book an appointment for a physical driving skill test at your local RTO.","The offering is a permanent, legal license to operate a motor vehicle on public roads across India for up to 20 years (or until age 40), serving as a high-security Government Smart Card ID",State Level,Yes,Common ,Govt,No,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline,https://transport.karnataka.gov.in/storage/pdf-files/form%204%20kan.pdf
Urban Development and Municipal Administration,The Directorate of Municipal Administration (DMA),Application for Building Licence,"Eligibility requires being the legal property owner (or GPA holder) with a valid Khata, up-to-date Property Tax receipts, and a building plan certified by a Registered Architect.","The beneficiary is the property owner (individual, developer, or organization) who receives legal authorization to construct or alter a building.","Required documents include the Title Deed, Current Khata, Tax Paid Receipt, Building Plans (blueprints) certified by a registered architect, and any applicable NOCs.",Online & Offline,"Hire a Registered Architect to submit your plan and documents on the Nirman 2.0 Portal, pay the fees online, and then coordinate a physical site inspection with your local Municipal Engineer.","The offerings include legal construction authorization, eligibility for home loans, and the mandatory permit required for permanent electricity and water connections.",State Level,Yes,Common,Govt,Yes,http://www.municipaladmn.gov.in/en,Online & Offline ,http://www.municipaladmn.gov.in/sites/municipaladmn.gov.in/files/pdf/Forms/Application%20for%20Building%20Licence.pdf
Commercial / Municipal Administration,Directorate of Municipal Administration,Application for Trade Licence,Eligibility requires being 18+ years old with a legally permitted business located in a commercial zone that complies with all property tax and health safety standards.,"The beneficiary is the business owner (proprietor, partner, or director) who receives legal authorization to operate a commercial trade within municipal limits.","Required documents include ID Proof (Aadhaar/PAN), Address Proof (Rental Agreement/Sale Deed), Property Tax Receipt, Business Photos, and relevant NOCs (Fire/Health/FSSAI).",Online & Offline,"Apply online via the Seva Sindhu or mrc.gov.in portal, pay the fees, and coordinate a physical site inspection by a Health or Revenue Officer to receive your certificate.","The offering is legal authorization to operate a business, enabling bank account opening, loan eligibility, and protection against penalties or closure during inspections.",State Level,Yes,Common ,Govt,No,municipaladmn.gov.in & sevasindhu.karnataka.gov.in,Online & Offline ,http://www.municipaladmn.gov.in/sites/municipaladmn.gov.in/files/pdf/Forms/Application%20fro%20Trade%20Licence.pdf
Finance,State Bank of India (SBI),"Application for Issuance of Inland Bank Guarantee","Business entities, contractors, or individuals having a Current Account with SBI and a sanctioned non-fund based limit.","The Third Party (Government departments, Project owners, or Sellers) to whom the guarantee is issued as security for performance or payment.","Sanction Letter, Contract/Tender document, Counter-Indemnity, and Marginal Money/Security details.",Hybrid,Submit the Standard Application Form along with the draft guarantee text and required margin to your SBI Relationship Manager.,A commitment by the bank to pay the beneficiary a specified sum if the applicant fails to perform contractual obligations or make payments.,Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) Official Trade Finance Guidelines.,Online,https://retail.sbi.bank.in/sbi/downloads/application_for_inland_bank_guarantee.pdf
Finance,State Bank of India (SBI),Deposit Slip Form,"Anyone wishing to deposit money into an SBI Savings, Current, Loan, or PPF account.",The Account Holder receiving the funds.,"Account Number, Branch Name, Amount, and PAN Card (mandatory for cash deposits of ₹50,000 and above).",Hybrid,Fill out the Pay-in-Slip at the counter or generate a QR Cash code on the YONO App to deposit at a CDM (Cash Deposit Machine).,A standard method to credit Cash or Cheques into a bank account with a stamped acknowledgment as proof of transaction.,Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Deposit+Slip-English+%281%29.pdf/f17f42ac-c4c1-2ddc-4e48-4ade8edc800d?t=1763121707252
Finance,State Bank of India (SBI),Withdrawal Form,Savings Account holders who do not have (or do not wish to use) a cheque book or ATM card for that specific transaction.,The Account Holder (self-withdrawal only; withdrawal slips are generally not for third-party payments).,"Original Passbook (mandatory), Account Number, and Identity Proof (if requested).",Hybrid,Fill the Withdrawal Slip and present it along with your Savings Bank Passbook to the teller at your home or nearby branch.,A simple way to withdraw cash from your own account at a bank counter without using a cheque.,Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Withdrawal+Slip-English+%281%29.pdf/4abf5fdb-e430-90c8-0c00-ef1b4c9b799f?t=1763121433129
Finance,State Bank of India (SBI),AG-LAF-IND (Agriculture Loan Application Form - Individual),"Individual farmers (owner cultivators, tenant farmers, oral lessees, or sharecroppers) and Agri-entrepreneurs.","Farmers engaged in crop cultivation, allied activities (dairy, poultry, fisheries), or those needing investment credit for farm machinery.","ID Proof (Aadhaar/PAN), Address Proof, Land ownership/Lease records, and Cropping pattern details.",Hybrid,"Fill the individual application form (AG-LAF-IND), attach land records, and submit it to the Rural/Semi-urban branch for technical appraisal.","Financial support for short-term crop production (KCC), allied activities, farm mechanization (tractors/harvesters), and land development.",Central ,Yes,Common,Govt,Yes,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/263971/Agriculture+Loan+Application+Form-English.pdf/1f8c8ddc-f26d-8dd0-5060-61dfc7a5dca4?t=1763105954142
Public Utilities / Municipal Administration,Directorate of Municipal Administration,Application for Water Supply Connection,"Eligibility requires being the legal property owner (or tenant with owner NOC) with a valid Khata, a sanctioned Building Plan, and up-to-date Property Tax receipts.","The beneficiary is the property owner or legal occupant (individual, commercial entity, or industry) who receives a functional, authorized connection to the municipal water supply line.","Required documents include the Title Deed, Current Khata, Property Tax Receipt, Sanctioned Building Plan, and a Licensed Plumber's Certificate.",Online & Offline,"Apply online via Seva Sindhu, upload property documents, and pay the connection fee before a mandatory site inspection and meter installation by the municipal engineer.","The offering is legal, metered access to the municipal water supply, which is mandatory for obtaining an Occupancy Certificate and ensures your property meets health and habitability standards.",State Level,Yes,Common ,Govt,No,municipaladmn.gov.in & sevasindhu.karnataka.gov.in,Online & Offline ,http://www.municipaladmn.gov.in/sites/municipaladmn.gov.in/files/pdf/Forms/Applications%20for%20Water%20Supply%20Connection.pdf
Revenue / Municipal Administration,The Directorate of Municipal Administration (DMA),Application for Khata Extract,Eligibility requires being the registered property owner (or authorized legal heir/GPA holder) with an existing Khata number and up-to-date Property Tax receipts.,"The beneficiary is the property owner (individual, developer, or legal heir) who receives an official government record of their property's details.","Required documents include the Title Deed, Current Property Tax Receipt, Aadhaar Card, and a copy of the Previous Khata Certificate or Extract",Online & Offline,"Apply online via Seva Sindhu or e-Aasthi, upload your Sale Deed and Tax Receipt, pay the fee, and download the digitally signed extract once approved.","The offering is an official certified record of property dimensions and ownership, which is mandatory for securing bank loans, calculating property tax, and completing legal property sales.",State Level,Yes,Common,Govt,No,municipaladmn.gov.in & sevasindhu.karnataka.gov.in,Online & Offline ,http://www.municipaladmn.gov.in/sites/municipaladmn.gov.in/files/pdf/Forms/Application%20for%20Khata%20Extract.pdf
Public Utilities / Municipal Administration,The Directorate of Municipal Administration (DMA),Application for UGD (Underground Drainage),"Eligibility requires being the legal property owner with a valid Khata, a sanctioned Building Plan, up-to-date Property Tax receipts, and proximity to an existing municipal UGD main line.","The beneficiary is the property owner or occupant who receives a legal connection to the municipal sewerage network, ensuring hygienic waste disposal","Required documents include the Title Deed, Current Khata, Property Tax Receipt, Sanctioned Building Plan (showing the plumbing layout), and a Licensed Plumber's Certificate.",Online & Offline,"Apply online via Seva Sindhu, upload your Sale Deed and Sanctioned Plan, pay the fees, and coordinate a site inspection with a municipal sanitary engineer.","The offering provides a legal, hygienic connection to the municipal sewerage network, which is mandatory for obtaining an Occupancy Certificate and ensures compliance with public health and sanitation standards.",State Level,Yes,Common ,Govt,No,municipaladmn.gov.in & sevasindhu.karnataka.gov.in,Online & Offline ,http://www.municipaladmn.gov.in/sites/municipaladmn.gov.in/files/pdf/Forms/Application%20for%20UGD%20Connection.pdf
Electoral/Government Services ,Election Commission of India (ECI),Application for New Voter Registration ,"To be eligible for Form 6, you must be an Indian citizen, aged 18 or older, and an ordinary resident of the constituency where you are applying.",The beneficiary is any Indian citizen who is a resident of Karnataka and has reached 18 years of age.,"To submit Form 6, you need an Aadhaar card (or other proof of age/address) and one recent passport-sized photograph.",Online & Offline,"Apply online via the Voters' Service Portal by creating an account and uploading documents, or offline by submitting the printed Form 6 to your local Booth Level Officer (BLO).","The Form 6 offering is the official inclusion of your name in the Electoral Roll, which grants you a Voter ID card (EPIC) and the legal right to vote in Indian elections.",Central ,Yes,Common ,Govt,Yes,https://voters.eci.gov.in/formspdf/Form_6_English.pdf & https://ceo.karnataka.gov.in/20/download-forms/en,Online & Offline ,https://ceo.karnataka.gov.in/uploads/media_to_upload1659697561.pdf
Labour and Employment,Karnataka Building and Other Construction Workers Welfare Board (KBOCWWB),Employment Certificate (Form V-B) ,Construction workers aged 18 to 60 years who have worked in the sector for at least 90 days in the preceding 12 months are eligible for the scheme.,"Any registered construction worker in Karnataka (including masons, plumbers, electricians, etc.).","To submit Form V(A), you need the signed certificate, Aadhaar card, age proof, bank passbook copy, and recent passport-size photos.",Online & Offline,"Apply online via the Seva Sindhu Portal by uploading your scanned documents or offline by submitting the signed Form V(A) at a Karnataka One or Grama One center.","The Form V(A) offering provides construction workers with a Labour Card, granting access to pensions, healthcare, marriage assistance, and educational scholarships for their children.",State Level,Yes,Common ,Govt,Yes,https://karbwwb.karnataka.gov.in/en & https://sevasindhu.karnataka.gov.in/,Online & Offline ,https://karbwwb.karnataka.gov.in/uploads/media_to_upload1689755002.pdf
Labour and Employment,Karnataka Building and Other Construction Workers Welfare Board (KBOCWWB),Employment Certificate to be issued by the Grama Panchayath (PDO/Secretary),"To be eligible for Form V(D), you must be a construction worker aged 18–60 who has completed at least 90 days of work in the last 12 months in a rural area.","The beneficiary is any unorganised construction worker (such as a mason, carpenter, or painter) residing in rural Karnataka who is between 18 and 60 years old","To submit Form V(D), you need the signed certificate from your Grama Panchayat, Aadhaar card, age proof, and Aadhaar-linked bank passbook.",Online & Offline,"Apply online via the Seva Sindhu Portal by uploading your documents or offline by submitting the signed Form V(D) at a Grama One or Karnataka One center.","The Form V(D) offering provides rural construction workers with a Labour Card, enabling access to pensions, medical insurance, marriage grants, and educational scholarships for their children",State Level,Yes,Common ,Govt,Yes,sevasindhu.karnataka.gov.in & karbwwb.karnataka.gov.in,Online & Offline ,https://karbwwb.karnataka.gov.in/uploads/media_to_upload1689755115.pdf
Transport and Communication,"Transport Department, Government of Karnataka",Form 35: Notice of Termination of an Agreement of Hire-Purchase/Lease/Hypothecation ,Eligibility requires being the registered owner with a fully repaid loan and possessing a valid NOC along with signed copies of Form 35 from your bank.,The beneficiary is the registered vehicle owner who has fully repaid their vehicle loan and seeks to have the financier's name removed from the Registration Certificate (RC),"Required documents include two signed copies of Form 35, the Bank NOC, your Original RC, and valid Insurance/PUC certificates.",Online & Offline,"Apply online via the Vahan Portal to pay the termination and smart card fees, then submit the Bank NOC, Original RC, and signed Form 35 at your local RTO.","The offering is the official removal of a financier's name from your vehicle's Registration Certificate (RC), granting you full legal ownership and the right to sell or transfer the vehicle without bank permission.",State Level,Yes,Common,Govt,Yes,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline ,https://transport.karnataka.gov.in/storage/pdf-files/Forms%20related%20to%20vehicle%20registration%20services%20in%20Kannada/CMV%2035.pdf
Transport/Driving License,"Transport Department, Government of Karnataka",Application for the addition of new class of vehicles to a Driving Licence,Eligibility for Form 8 requires holding a valid permanent driving license and a current learner's license for the new vehicle class you wish to add.,The beneficiary is any individual holding a valid permanent driving license in Karnataka who wants to legally add a new category of vehicle,"Required documents include your original driving license, a valid learner’s license for the new class, Form 1A (Medical Certificate), and a driving training certificate (for transport vehicles).",Online & Offline,"Apply online via the Sarathi Parivahan portal by selecting ""Services on DL"" to upload documents and book a test, or visit your local RTO to submit Form 8 manually.",The offering is the legal endorsement or addition of a new vehicle category (such as Heavy Goods Vehicle or Transport) to an existing permanent driving licence.,State Level,Yes,Common,Govt,Yes,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline ,https://transport.karnataka.gov.in/storage/pdf-files/Form-8.pdf
Transport and Communication,"Transport Department, Government of Karnataka",Application for Assignment of New Registration Mark to a Motor Vehicle,Eligibility requires being the registered owner of a vehicle brought from another state with a valid No Objection Certificate (NOC) from the original RTO and paying the Karnataka Life Time Tax (LTT).,"The beneficiary is any registered vehicle owner relocating from another state who gains legal local registration, ensuring compliance with the Motor Vehicles Act and enabling local ownership transfer or insurance claims.","Required documents include the Original RC, NOC (Form 28) from the previous state, Karnataka Tax Receipt, Local Address Proof, and Valid Insurance/PUC.",Online & Offline,"Apply online via the Vahan Portal to pay the Life Time Tax (LTT), then visit your local RTO for a physical vehicle inspection and submission of the Original RC and NOC (Form 28).","The offering is the legal re-registration of an out-of-state vehicle in Karnataka, providing a local KA registration number and ensuring your vehicle is compliant with state laws for long-term use (beyond 12 months).",State Level,Yes,Common ,Govt,Yes,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline,https://transport.karnataka.gov.in/storage/pdf-files/Forms%20related%20to%20vehicle%20registration%20services%20in%20Kannada/CMV%2027.pdf
