Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
State Bank of India (SBI),SCSS Account Deposit Slip,Senior Citizens (60+ years or eligible retirees 55+) making their initial investment or adding funds to their SCSS account,The Senior Citizen Subscriber (the individual whose name is on the SCSS account).,"SCSS Account Number, Branch Name, and Cash/Cheque/DD for the deposit amount.",Offline ,Fill out the provided PDF form with the deposit details and submit it with your cash/cheque at the bank counter for a stamped acknowledgment.,"A secure method to deposit funds into a high-interest, government-backed savings scheme designed specifically for retirement income.",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/263971/SCSS+Account+Deposit+Slip-English.pdf/13efac35-132d-33cc-2273-81914061ae79?t=1765174481429
State Bank of India (SBI),SCSS Account Nomination Change Form,SCSS account holders who wish to cancel or change an existing nominee in their account.,The New Nominee(s) (the designated person(s) who will receive the balance in the event of the subscriber's death).,"SCSS Passbook, New Nominee's Name, Address & Age, and Witness Signatures.",Offline ,Fill out the provided PDF form with the new nominee details and submit it with your original passbook at the branch.,"Allows the subscriber to update their legal successor, ensuring the retirement funds are transferred to the correct person if family circumstances change.",Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SCSS+Account+Nomination+Change+Form-English.pdf/d01bd519-8584-feb8-6b87-975ae2a573b3?t=1765174783414
State Bank of India (SBI),SCSS Account Opening Form,"Individuals aged 60 years or above, or retirees aged 55-60 (under VRS/Superannuation) and retired defense personnel aged 50+.","Senior Citizens looking for a safe, government-backed investment with regular quarterly income.","Aadhaar Card, PAN Card, Passport Photographs, and Proof of Date of Birth/Retirement.",Offline ,Submit the provided PDF form along with your KYC documents and the initial deposit (Cheque/DD) at your nearest SBI branch.,A 5-year investment (extendable by 3 years) offering quarterly interest payments and tax deductions under Section 80C.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/263971/SCSS+Account+Opening+Form-English.pdf/8b2d737e-1e88-ffb0-cd33-c398d5b0faba?t=1765175074863
State Bank of India (SBI),SSA Account Closure Form,"The Guardian (on behalf of the girl child) when the account reaches 21 years from the date of opening, or for the girl child’s marriage after she turns 18.",The Girl Child (Account Holder) who receives the full maturity amount for her financial future.,"Original SSA Passbook, Identity Proof of the girl child, and Proof of Marriage/Age (if closing for marriage).",Offline ,Submit the provided PDF form and the original passbook at the branch to transfer the maturity amount to the girl child's savings account.,Full disbursement of the principal amount plus compounded interest accumulated over the tenure of the account.,Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SSA+Account+Closure+Form-English.pdf/ce8e4f1a-042b-6dd6-f227-264bbd7a14ad?t=1765175818989
State Bank of India (SBI),SSA Account Opening Form,"Resident Indian girl child up to 10 years of age (maximum two girls per family, with exceptions for twins/triplets).","The Girl Child, with the account operated by her Parent or Legal Guardian.","Birth Certificate of the girl child, ID & Address Proof of the guardian (Aadhaar/PAN), and passport-sized photographs.",Hybrid,"Fill out Form SSA-1 on the SBI Portal or Net Banking, print it, and submit it with KYC documents and a minimum deposit of ₹250 at any SBI branch.","A high-interest, tax-free savings account with a 21-year maturity period, offering deductions under Section 80C.",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute (NSI).,Online,https://sbi.bank.in/documents/53471/263971/SSA+Account+Opening+Form-English.pdf/3534c5a9-7063-94f6-8250-60e1fda4548f?t=1765176703402
State Bank of India (SBI),SSA Account Premature Closure,"The Guardian or Account Holder (Girl Child) only under specific extreme grounds: Death of the account holder/guardian, Life-threatening disease, or Non-resident status (if the girl child becomes an NRI).",The Girl Child (or the Guardian/Nominee in case of the child's death).,"Original SSA Passbook, Death Certificate (if applicable), Medical Certificate from a specialist, or Passport/Visa copies (for NRI status).",Offline ,Submit the provided PDF form along with the original passbook and certified proof of the emergency/reason to the Branch Manager.,"Early disbursement of the principal and interest before the 21-year maturity period, providing immediate liquidity for emergencies or status changes.",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SSA+Account+Premature+Closure-English.pdf/95c9a683-0bb4-329d-7a5f-0768e3c4661c?t=1765176821392
State Bank of India (SBI),SSA Account Withdrawal,"The Account Holder (Girl Child) after reaching 18 years of age or having passed 10th standard, whichever is earlier.","The Girl Child, for the purpose of meeting expenses for her Higher Education.","Original SSA Passbook, Identity Proof, and Admission Offer/Fee Receipt from the educational institution.",Offline ,Submit the provided PDF form and the original passbook with proof of admission to the branch manager for approval.,Partial withdrawal of up to 50% of the balance available at the end of the preceding financial year.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/263971/SSA+Account+Withdrawal-English.pdf/c77d8272-69eb-42c5-b595-3d41ba42e96b?t=1765176931411
State Bank of India (SBI),Auto Loan Application,"Salaried individuals, self-employed professionals/businessmen, and agriculturists aged 21 to 70 years with a stable income.","Individual borrowers looking to purchase a new passenger car, multi-utility vehicle, or SUV.","Identity/Address Proof, Income Proof (Salary Slips/ITR/Form 16), Last 6 months' Bank Statement, and a Pro-forma Invoice of the vehicle.",Hybrid,Submit the provided PDF form along with income documents and the vehicle quotation to an SBI branch or a RACPC (Retail Assets Centralized Processing Center).,"Financing for the purchase of a new car with on-road pricing coverage, flexible repayment tenures up to 7 years, and competitive interest rates.",Central ,Yes,Common ,Govt,No,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/263971/Auto+Loan+Application-English.pdf/a0e4c616-2435-8889-de64-8ef6c4a48d6e?t=1767590659339
State Bank of India (SBI),Business Loan Application,"Business entities (Proprietorship, Partnership, or Companies) engaged in manufacturing, services, or trading with a minimum of 2 years of business vintage.","Small and Medium Enterprises (SMEs) needing credit for working capital, machinery purchase, or business expansion.","Business Registration (Udyam), Last 2-3 years' ITR, Bank Statements, KYC of Promoters, and Collateral Security details.",Hybrid,Submit the provided PDF form along with your business financial reports and project proposal to your nearest SBI SME Branch.,Financial assistance through term loans or working capital limits (Cash Credit) to support business growth and operational needs.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) SME Banking portal.,Online,https://sbi.bank.in/documents/53471/263971/Business+Loan+Application-English.pdf/4fcac044-0081-e3e5-ace9-ee4f023b53fb?t=1767594451472
State Bank of India (SBI),Education Loan Application,Indian Students who have secured admission to professional/technical courses in India or abroad through an entrance test or merit-based selection.,Students (as the borrower) and their Parents/Guardians (as the co-borrowers).,"Admission Letter, Fee Schedule, Mark sheets (10th/12th/Graduation), Income Proof of Co-borrower, and KYC documents.",Hybrid,"Register on the Vidya Lakshmi portal, select SBI, upload the provided PDF form, and visit the SBI branch for final processing.","Financial coverage for tuition fees, hostel charges, books/equipment, and travel expenses for studies in India or overseas.",Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) and Ministry of Finance.,Online,https://sbi.bank.in/documents/53471/263971/Education+Loan+Application-English.pdf/920347b9-f3bb-e97d-dc11-9cfda8a768da?t=1767594576828
State Bank of India (SBI),Gold Loan Application,Any individual (singly or jointly) aged 18 years and above with a steady source of income (including pensioners).,"Individual borrowers needing immediate liquidity for personal, medical, or agricultural needs by pledging gold ornaments.","Identity/Address Proof, two passport-sized photographs, and a Witness Letter (if required by the branch).",Hybrid,Submit the provided PDF form along with your gold ornaments at the branch for weight/purity valuation and instant disbursement,"Instant credit against gold ornaments/coins with flexible repayment options like Liquid Gold Loan (Overdraft), EMI, or Bullet Repayment.",Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/263971/Gold+Loan+Application-English.pdf/03234859-7238-8808-eacd-dbd90625e753?t=1767594758842
State Bank of India (SBI),Home Loan Application,"Salaried individuals, Self-employed professionals, and Businessmen aged 18 to 70 years with a stable income.","Individual borrowers looking to purchase, construct, or renovate a house/flat.","Identity/Address Proof, Income Proof (ITR/Salary Slips), 6 months Bank Statement, and Property Documents (Allotment Letter/Sale Deed).",Hybrid,Submit the provided PDF form along with income and property papers to an SBI branch for technical and legal appraisal.,"Long-term financing for home purchase/construction with tenures up to 30 years, competitive interest rates, and no prepayment penalties.",Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/263971/Home+Loan+Application-English.pdf/f5d46151-9626-3aae-917e-499d1ce3d002?t=1767594853351
State Bank of India (SBI),Key fact Statement,"All individual borrowers applying for retail loans (Home, Auto, Personal, etc.).","The Borrower, who receives a clear summary of all loan costs to make an informed decision.","Loan Account Number, Sanction Letter, and Identity Proof.",Hybrid,Review and sign the provided KFS PDF during the loan documentation stage at your SBI branch or via the YONO app.,"A standardized document that clearly lists the Annual Percentage Rate (APR), all processing fees, insurance costs, and the total amount to be repaid.",Central ,Yes,Common ,Govt,Yes,Reserve Bank of India (RBI) and State Bank of India (SBI).,Online,https://sbi.bank.in/documents/53471/58026269/Key+Fact+Statement+for+Auto+Loan-English.pdf/15e58ec1-0600-c6d9-ca9b-15a3d1d2b65f?t=1776939237236
State Bank of India (SBI),,,,,Hybrid,,,Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/58026278/Key+Fact+Statement+for+Education+Loan-English.pdf/1a33a3a3-5a25-dffa-cb65-d651ea9c84b3?t=1776939251718
State Bank of India (SBI),,,,,Hybrid,,,Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/58026275/Key+Fact+Statement+for+Gold+Loan-English.pdf/5a50b5d9-eab5-ce3a-05f6-725dce48e450?t=1776939190730
State Bank of India (SBI),,,,,Hybrid,,,Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/58026272/Key+Fact+Statement+for+Personal+Loan-English.pdf/6b2f0a4b-da40-6c40-3ade-d5fa9e58922c?t=1776939214719
State Bank of India (SBI),Loan Against Property Application,"Salaried individuals, self-employed professionals, and businessmen owning a residential or commercial property, with a stable income and a minimum age of 18 years.",Individual property owners seeking funds for personal or business needs (excluding speculative purposes) by mortgaging their existing property.,"Identity/Address Proof, Income Proof (ITR/Salary Slips), 6 months Bank Statement, and Original Property Title Deeds.",Hybrid,Submit the provided PDF form along with property papers to an SBI branch or RACPC for legal and technical valuation of the asset.,"A multi-purpose loan offering high-value credit against the market value of a property, with lower interest rates compared to personal loans and tenures up to 15 years.",Central ,Yes,Common ,Govt,Yes,Reserve Bank of India (RBI) and State Bank of India (SBI).,Online,https://sbi.bank.in/documents/53471/263971/Loan+Against+Proporty+Application-English.pdf/6a0ef037-4ec1-00b3-a7c6-b0cf68f4b01c?t=1767595071385
State Bank of India (SBI),Personal Loan Application,"Salaried individuals (with SBI salary account), Pensioners, and Self-employed individuals with a stable income and a minimum age of 21 years.","Individual borrowers needing unsecured funds for weddings, travel, medical emergencies, or any other personal legitimate requirements.","Identity/Address Proof, Latest 3 months' Salary Slips, Form 16, and Last 6 months' Bank Statement.",Hybrid,Submit the provided PDF form along with your income documents to your Home Branch or apply digitally through the YONO app.,"Unsecured loans with no collateral or security required, featuring competitive interest rates, low processing fees, and tenures up to 72 months.",Central ,Yes,Common ,Govt,No,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/58026789/Personal+Loan+Application-English.pdf/841e47a7-c21c-bb66-70ed-435edcc0f71e?t=1776939402286
